# parameter:
# R = 7
# b = 6
# Y0 = 5.36
# Z = 79
# t       	eBy     	abserr  	relerr
  0       	65417.7 	56.567  	0.0864706
  0.03    	40885   	18.8876 	0.0461967
  0.06    	19995.3 	8.92185 	0.0446197
  0.09    	10257.8 	7.03939 	0.0686249
  0.12    	5815.89 	6.22348 	0.107008
  0.15    	3612.82 	4.48796 	0.124223
  0.18    	2416.71 	2.96654 	0.122752
  0.21    	1713.49 	2.08712 	0.121805
  0.24    	1272.25 	1.53585 	0.120718
  0.27    	979.858 	1.17282 	0.119692
  0.3     	777.261 	0.924851	0.118988
  0.33    	631.642 	0.747745	0.118381
  0.36    	523.655 	0.617158	0.117856
  0.39    	441.464 	0.518661	0.117486
  0.42    	377.46  	0.442627	0.117265
  0.45    	326.661 	0.382927	0.117225
  0.48    	285.653 	0.334708	0.117173
  0.51    	252.072 	0.295663	0.117293
  0.54    	224.204 	0.262828	0.117227
  0.57    	200.821 	0.235988	0.117512
  0.6     	180.996 	0.213203	0.117794
  0.63    	164.031 	0.193656	0.11806 
  0.66    	149.393 	0.176484	0.118134
  0.69    	136.683 	0.161986	0.118512
  0.72    	125.564 	0.149312	0.118913
  0.75    	115.78  	0.13822 	0.119382
  0.78    	107.109 	0.128305	0.11979 
  0.81    	99.4033 	0.119524	0.120241
  0.84    	92.5182 	0.111638	0.120666
  0.87    	86.3282 	0.104535	0.121091
  0.9     	80.7515 	0.0982034	0.121612
  0.93    	75.7072 	0.0923503	0.121984
  0.96    	71.1265 	0.0871781	0.122568
  0.99    	66.9603 	0.0822948	0.122901
  1.02    	63.1536 	0.0777408	0.123098
  1.05    	59.6623 	0.0738133	0.123718
  1.08    	56.4476 	0.0700692	0.124131
  1.11    	53.4927 	0.0667656	0.124813
  1.14    	50.7661 	0.0637778	0.125631
  1.17    	48.2484 	0.060895	0.126212
  1.2     	45.9081 	0.0580886	0.126532
  1.23    	43.7377 	0.0556012	0.127124
  1.26    	41.7156 	0.053182	0.127487
  1.29    	39.8345 	0.0517157	0.129826
  1.32    	38.0725 	0.0512686	0.13466 
  1.35    	36.4258 	0.0508182	0.139512
  1.38    	34.8813 	0.050448	0.144627
  1.41    	33.4374 	0.0501101	0.149862
  1.44    	32.0768 	0.0497586	0.155123
  1.47    	30.7978 	0.0495116	0.160763
  1.5     	29.595  	0.0491742	0.166157
  1.53    	28.4622 	0.0489884	0.172118
  1.56    	27.3908 	0.048714	0.177848
  1.59    	26.3801 	0.0485226	0.183936
  1.62    	25.4184 	0.0483036	0.190034
  1.65    	24.5103 	0.0481442	0.196425
  1.68    	23.6508 	0.0479472	0.20273 
  1.71    	22.8326 	0.047723	0.209013
  1.74    	22.054  	0.0476686	0.216145
  1.77    	21.3144 	0.0474501	0.222621
  1.8     	20.6112 	0.0473581	0.22977 
  1.83    	19.9431 	0.0472994	0.237171
  1.86    	19.3067 	0.047051	0.243702
  1.89    	18.6978 	0.047017	0.251457
  1.92    	18.114  	0.0468802	0.258806
  1.95    	17.5626 	0.0468141	0.266555
  1.98    	17.0294 	0.0467053	0.274262
  2.01    	16.5238 	0.0466058	0.282053
  2.04    	16.0385 	0.0465002	0.289928
  2.07    	15.5719 	0.0464374	0.298213
  2.1     	15.1251 	0.0464072	0.306822
  2.13    	14.7041 	0.0463616	0.315298
  2.16    	14.294  	0.046189	0.323136
  2.19    	13.8992 	0.0462097	0.332462
  2.22    	13.5202 	0.0461125	0.341064
  2.25    	13.1562 	0.0460611	0.350109
  2.28    	12.8085 	0.0460181	0.359277
  2.31    	12.4755 	0.0458727	0.367702
  2.34    	12.1575 	0.0460071	0.378426
  2.37    	11.8436 	0.0458567	0.387185
  2.4     	11.5461 	0.0457377	0.396131
  2.43    	11.2575 	0.0457777	0.406641
  2.46    	10.9766 	0.0458369	0.417587
  2.49    	10.7085 	0.0457918	0.42762 
  2.52    	10.4503 	0.0457719	0.437994
  2.55    	10.202  	0.0456382	0.447346
  2.58    	9.95625 	0.0454883	0.456882
  2.61    	9.7243  	0.0456117	0.469048
  2.64    	9.4957  	0.0454231	0.478355
  2.67    	9.27806 	0.0454801	0.49019 
  2.7     	9.06664 	0.0454845	0.501669
  2.73    	8.8619  	0.0455028	0.513466
  2.76    	8.66298 	0.0453581	0.523585
  2.79    	8.46959 	0.0454286	0.536373
  2.82    	8.2858  	0.0455238	0.549419
  2.85    	8.1037  	0.0454596	0.560973
  2.88    	7.93104 	0.0454459	0.573013
  2.91    	7.76191 	0.0453714	0.584539
  2.94    	7.59878 	0.0453969	0.597424
  2.97    	7.43962 	0.0453931	0.610153
  3       	7.28029 	0.0454453	0.624224
